"Código","Nome","Volume","Última (R$)","Variação"
"MGLU4","Magazine Luiza","129.979.800","1,89","+2,72%"
"MGLU3","Magazine Luiza","129.979.800","1,89","+2,72%"
"PETR4","Petrobras","88.012.200","32,62","-3,97%"
"HAPV3","Hapvida","85.361.400","4,37","+1,16%"
"BBDC4","Banco Bradesco","45.486.800","14,38","+3,38%"
"B3SA3","B3","32.813.900","11,86","+3,22%"
"ITSA4","Itaúsa","27.269.900","8,89","+0,91%"
"CVCB3","CVC","25.387.800","2,57","+7,53%"
"CIEL3","Cielo","23.749.400","3,43","+1,78%"
"ITUB4","Itaú Unibanco","23.748.200","27,21","+2,29%"
"LREN3","Lojas Renner","20.790.800","12,93","+3,19%"
"COGN3","Cogna","19.047.300","2,60","+2,36%"
"MRVE3","MRV","17.202.700","9,43","-0,11%"
"CPLE6","Copel","17.004.900","8,40","-0,83%"
"RAIL3","Rumo","15.828.200","21,72","+0,23%"
"ABEV3","Ambev","15.746.400","13,21","+1,23%"
"BRFS3","BRF","15.676.800","10,45","+0,10%"
"PETZ3","Petz","14.654.400","4,30","+0,00%"
"VALE3","Vale","14.276.000","65,87","-1,07%"
"VAMO3","Grupo Vamos","14.156.300","8,75","+1,04%"
"ENEV3","Eneva","12.732.300","11,38","+1,07%"
"ANIM3","Ânima Educação","12.540.400","2,81","-2,77%"
"AMER3","Americanas","12.433.500","0,75","-2,60%"
"PRIO3","PetroRio","12.243.700","43,90","-2,81%"
"SOMA3","Grupo Soma","11.711.300","6,25","+0,81%"
"HBSA3","Hidrovias do Brasil","11.519.700","4,13","-1,90%"
"AZUL4","Azul","11.465.200","13,25","+3,11%"
"GOLL4","GOL","10.773.400","6,24","+3,65%"
"RAIZ4","Raízen","10.550.000","3,47","+0,29%"
"ASAI3","Assaí","10.402.200","11,63","+1,22%"
"VBBR3","Vibra Energia","10.273.600","19,03","+2,31%"
"JBSS3","JBS","9.935.600","18,21","+0,33%"
"MRFG3","Marfrig","9.833.200","6,90","-2,68%"
"GGBR4","Gerdau","8.987.500","23,00","-1,25%"
"LWSA3","Locaweb","8.266.100","6,26","+7,19%"
"ALSO3","Aliansce Sonae","8.198.800","22,13","+2,88%"
"PCAR3","Grupo Pão de Açúcar","8.196.800","3,39","+3,35%"
"CMIN3","CSN Mineração","8.185.400","4,66","-1,69%"
"BBAS3","Banco do Brasil","8.180.100","46,80","+0,75%"
"YDUQ3","YDUQS","8.105.800","20,93","+7,61%"
"UGPA3","Ultrapar","7.681.500","18,45","+0,99%"
"TIMS3","TIM","7.509.700","14,92","+1,02%"
"CMIG4","CEMIG","7.398.200","12,21","+0,99%"
"USIM5","Usiminas","7.139.400","6,42","-1,08%"
"CRFB3","Carrefour Brasil","6.915.100","8,83","+3,88%"
"CYRE3","Cyrela","6.851.400","19,69","+2,82%"
"CSAN3","Cosan","6.611.800","16,29","+0,87%"
"RRRP3","3R Petroleum","6.435.600","29,46","-2,93%"
"RENT3","Localiza","6.417.400","55,54","+0,80%"
"CSNA3","Siderúrgica Nacional","6.382.900","11,56","-2,03%"
"NTCO3","Natura","6.378.300","14,75","+1,30%"
"SEQL3","Sequoia Logística","6.378.300","0,52","-1,89%"
"IFCM3","Infracommerce","6.369.100","1,34","+3,08%"
"EQTL3","Equatorial Energia","5.914.500","31,43","-0,38%"
"CEAB3","C&A","5.909.400","5,09","+8,07%"
"GMAT3","Grupo Mateus","5.526.200","6,70","+1,06%"
"LJQQ3","Lojas Quero-Quero","5.232.700","3,53","+3,52%"
"WEGE3","WEG","5.217.000","35,16","-0,03%"
"SUZB3","Suzano","5.212.500","55,00","-0,51%"
"GOAU4","Metalúrgica Gerdau","4.920.400","10,66","-1,30%"
"CCRO3","Grupo CCR","4.883.300","12,23","+0,25%"
"BEEF3","Minerva","4.787.300","8,15","+0,25%"
"AMAR3","Lojas Marisa","4.747.200","0,56","+0,00%"
"ELET3","Eletrobras","4.702.800","35,40","+0,28%"
"RDOR3","Rede D'Or","4.691.900","24,54","+1,36%"
"EMBR3","Embraer","4.598.000","16,71","-1,24%"
"POMO4","Marcopolo","4.492.600","5,73","+3,06%"
"AERI3","Aeris Energy","4.421.000","0,80","+1,27%"
"AURE3","VTRM ENERGIA PARTICIPAÃiES S.A.","4.343.100","13,60","-0,29%"
"ALPA4","Alpargatas","4.103.900","8,12","+3,18%"
"CPLE3","Copel","3.906.700","7,88","-1,01%"
"ARZZ3","Arezzo","3.860.800","65,52","+6,17%"
"RADL3","RaiaDrogasil","3.842.400","27,70","+2,14%"
"BBSE3","BB Seguridade","3.810.000","32,20","+0,56%"
"VIVA3","Vivara","3.731.700","27,31","+4,96%"
"FLRY3","Fleury","3.565.100","15,85","-0,94%"
"QUAL3","Qualicorp","3.419.200","2,93","+2,09%"
"TTEN3","3tentos","3.414.800","12,25","-0,97%"
"MLAS3","Multilaser","3.383.800","2,56","+1,59%"
"TEND3","Construtora Tenda","3.332.400","12,64","+0,96%"
"CBAV3","CBA","3.227.900","4,27","-0,70%"
"SBFG3","Grupo SBF","3.102.500","6,72","+3,54%"
