Company Name;DÍVIDA LÍQUIDA - LUCRO LÍQUIDO;DIVIDENDOS;LUCRO OPERACIONAL>0;P/VP abaixo de 5;Líquida/EBITDA é menor que 2;+30 anos de mercado? (Fundação);P/L < 15;Roe > 15;Roa > 10Roic > 12;tag_along 100%;free_float 50%;Soma_total;Formula Graham;Cotacao
MAGAZINE LUIZA;0;0;1;1;0;1;1.0;0;;1;0;5;0.0;1.72
HAPVIDA;0;0;1;1;0;0;1.0;0;;1;1;5;0.0;4.05
B3 S.A. - BRASIL, BOLSA, BALCÃO;1;1;1;1;1;0;0.0;0;;1;1;8;7.56;11.51
CVC BRASIL;0;0;1;1;1;0;1.0;0;;1;1;6;0.0;2.56
CIELO;1;1;1;1;1;0;1.0;0;;1;0;8;8.24;3.37
LOJAS RENNER;1;1;1;1;1;1;1.0;0;;1;1;9;15.43;12.37
COGNA ON;0;0;1;1;0;0;1.0;0;;1;1;5;0.0;2.51
MRV ENGENHARIA E PARTICIPAÇÕES;0;0;1;1;1;0;1.0;0;;1;1;6;0.0;8.69
COPEL;0;1;1;1;0;1;0.0;0;;1;1;6;10.33;20.11
RUMO S.A;0;0;1;1;0;0;0.0;0;;1;1;4;8.97;21.16
AMBEV;1;1;1;1;1;0;1.0;0;;0;0;8;10.51;12.83
BRF S.A;0;0;1;1;1;1;1.0;0;;1;1;7;0.0;10.48
PETZ;1;0;1;1;1;0;0.0;0;;1;1;6;2.85;4.37
VALE;1;1;1;1;1;1;1.0;0;;1;1;11;107.82;66.25
VAMOS;0;1;1;1;0;0;1.0;0;;1;0;6;7.03;8.39
ENEVA;0;0;1;1;0;0;0.0;0;;1;1;4;8.69;11.14
ANIMA;0;0;1;1;0;0;1.0;0;;1;1;5;0.0;2.68
AMERICANAS S.A;0;0;1;1;0;1;0.0;0;;1;1;5;4.28;0.75
PETRO RIO S.A;0;0;1;1;1;0;1.0;0;;1;1;8;33.84;43.45
GRUPO DE MODA SOMA S.A.;1;0;1;1;1;0;0.0;0;;1;1;6;9.18;5.96
HIDROVIAS DO BRASIL;0;0;1;1;0;1;0.0;0;;1;1;5;2.1;3.99
ASSAÍ;0;0;1;1;0;0;0.0;0;;1;1;5;6.84;11.28
VIBRA ENERGIA S.A.;0;0;1;1;0;1;0.0;0;;1;1;5;12.39;18.68
JBS;0;1;0;1;1;0;1.0;0;;1;1;6;30.04;18.15
MARFRIG;0;1;1;1;0;0;1.0;0;;1;0;5;0.0;6.72
LOCAWEB SERVIÇOS DE INTERNET S.A;1;0;1;1;1;0;1.0;0;;1;1;7;0.0;6.35
ALIANSCSONAE;1;0;1;1;1;0;1.0;0;;1;1;9;56.66;21.61
CIA BRASILEIRA DE DISTRIBUIÇÃO;0;0;1;1;1;1;1.0;0;;1;1;7;0.0;3.2
CSN MINERAÇÃO S.A.;1;1;1;1;1;1;1.0;0;;1;0;9;4.35;4.61
BANCO DO BRASIL;1;1;0;1;1;1;1.0;0;;0;0;7;119.05;46.87
YDUQS;0;0;1;1;0;0;0.0;0;;1;1;4;9.07;20.09
ULTRAPAR PARTICIPAÇÕES;0;0;1;1;0;1;1.0;0;;1;1;6;17.33;18.1
TIM;1;1;1;1;1;0;0.0;0;;1;0;6;14.06;15.14
USIMINAS;0;0;1;1;1;1;0.0;0;;0;1;5;11.11;16.31
CYRELA;0;0;1;1;1;0;1.0;0;;1;1;6;31.54;18.46
COSAN;0;0;1;1;0;1;1.0;0;;1;1;7;0.0;15.76
3R PETROLEUM ÓLEO E GÁS S.A.;1;0;1;1;1;0;1.0;0;;1;1;7;31.31;28.11
LOCALIZA;0;0;1;1;0;1;0.0;0;;1;1;5;25.48;54.29
CIA SIDERURGICA NACIONAL;0;1;1;1;0;1;1.0;0;;0;0;5;0.0;11.37
NATURA &CO HOLDING S.A.;0;0;1;1;1;1;1.0;0;;1;1;7;0.0;14.15
SEQUOIA;0;0;1;1;1;1;1.0;0;;1;1;7;0.0;0.51
INFRACOMMERCE;0;0;1;1;1;1;1.0;0;;1;1;7;0.0;1.36
EQUATORIAL ENERGIA;0;0;1;1;0;0;0.0;0;;1;1;4;22.93;30.97
CEA MODAS;0;0;1;1;0;1;0.0;0;;1;0;4;4.58;4.95
GRUPO MATEUS;0;0;1;1;0;1;1.0;0;;1;0;6;6.44;6.37
LOJAS QUERO-QUERO S/A;0;0;1;1;0;1;1.0;0;;1;1;6;0.0;3.41
WEG;1;0;1;0;1;1;0.0;0;;1;0;7;9.95;34.77
SUZANO S.A;0;1;1;1;0;1;1.0;1;;1;1;10;112.63;55.84
CCR;0;0;1;1;0;0;0.0;0;;1;0;3;9.33;12.05
MINERVA;0;1;1;0;0;1;1.0;1;;1;0;7;2.96;7.95
LOJAS MARISA;0;0;0;1;1;1;1.0;0;;1;0;5;0.0;0.55
ELETROBRAS;0;0;1;1;0;1;0.0;0;;0;1;4;28.36;86.01
REDE D'OR SÃO LUIZ;0;0;1;1;1;1;0.0;0;;1;0;5;11.4;23.48
EMBRAER;0;0;1;1;0;1;1.0;0;;1;1;6;0.0;16.22
AERIS;0;0;1;1;0;0;1.0;0;;1;0;4;0.0;0.8
AUREN ENERGIA;1;1;1;1;0;1;1.0;0;;1;0;7;32.12;13.45
AREZZO&CO;1;0;1;1;1;1;0.0;0;;1;1;8;43.35;63.5
RAIA DROGASIL;0;0;1;0;0;1;0.0;0;;1;1;5;6.59;27.35
BB SEGURIDADE;1;1;0;0;1;0;1.0;1;;1;0;8;19.0;31.66
