Company Name;DÍVIDA LÍQUIDA - LUCRO LÍQUIDO;DIVIDENDOS;LUCRO OPERACIONAL>0;P/VP abaixo de 5;Líquida/EBITDA é menor que 2;+30 anos de mercado? (Fundação);P/L < 30;Crescimento de receitas lucro >5perc ultimos 5 anos;Soma_total;Formula Graham
MINASMAQUINAS S.A.;0;0;1;1;0;1;1;;4;10403.88
MAGAZINE LUIZA;0;0;1;1;0;1;1;;4;0.0
PETROLEO BRASILEIRO S.A. PETROBRAS;0;1;1;1;1;1;1;;6;87.56
HAPVIDA;0;0;1;1;0;0;1;;3;0.0
BANCO BRADESCO;1;1;0;1;1;1;1;;6;23.13
B3 S.A. - BRASIL, BOLSA, BALCÃO;1;1;1;1;1;0;1;;6;7.56
ITAUSA INVESTIMENTOS ITAU S.A.;1;1;1;1;1;1;1;;7;15.62
CVC BRASIL;0;0;1;1;1;0;1;;4;0.0
CIELO;1;1;1;1;1;0;1;;6;8.24
BANCO ITAU UNIBANCO;1;1;0;1;1;1;1;;6;36.35
LOJAS RENNER;1;1;1;1;1;1;1;;7;15.43
COGNA ON;0;0;1;1;0;0;1;;3;0.0
MRV ENGENHARIA E PARTICIPAÇÕES;0;0;1;1;1;0;1;;4;0.0
COPEL;0;1;1;1;0;1;0;;4;10.33
RUMO S.A;0;1;1;1;0;0;0;;3;8.97
AMBEV;1;1;1;1;1;0;1;;6;10.51
BRF S.A;0;0;1;1;1;1;1;;5;0.0
PETZ;1;1;1;1;1;0;0;;5;2.85
VALE;1;1;1;1;1;1;1;;7;107.82
VAMOS;0;1;1;1;0;0;1;;4;7.03
ENEVA;0;0;1;1;0;0;1;;3;8.69
ANIMA;0;0;1;1;0;0;1;;3;0.0
AMERICANAS S.A;0;0;1;1;0;1;1;;4;4.28
PETRO RIO S.A;0;0;1;1;1;0;1;;4;33.84
GRUPO DE MODA SOMA S.A.;1;1;1;1;1;0;1;;6;9.18
HIDROVIAS DO BRASIL;0;0;1;1;0;1;0;;3;2.1
AZUL;0;0;1;1;0;0;1;;3;0.0
GOL LINHAS AEREAS INTELIGENTES S.A.;0;0;1;1;0;0;1;;3;0.0
RAÍZEN;0;1;1;1;0;1;1;;5;3.44
ASSAÍ;0;1;1;1;0;0;1;;4;6.84
VIBRA ENERGIA S.A.;0;1;1;1;0;1;0;;4;12.39
JBS;0;1;0;1;1;0;1;;4;30.04
MARFRIG;0;1;1;1;0;0;1;;4;0.0
GERDAU;1;1;1;1;1;1;1;;7;58.41
LOCAWEB SERVIÇOS DE INTERNET S.A;1;1;1;1;1;0;1;;6;0.0
ALIANSCSONAE;1;1;1;1;1;0;1;;6;56.66
CIA BRASILEIRA DE DISTRIBUIÇÃO;0;0;1;1;1;1;1;;5;0.0
CSN MINERAÇÃO S.A.;1;1;1;1;1;1;1;;7;4.35
BANCO DO BRASIL;1;1;0;1;1;1;1;;6;119.05
YDUQS;0;0;1;1;0;0;0;;2;9.07
ULTRAPAR PARTICIPAÇÕES;0;1;1;1;0;1;1;;5;17.33
TIM;1;1;1;1;1;0;1;;6;14.06
CEMIG;0;1;1;1;1;1;1;;6;23.96
USIMINAS;0;0;1;1;1;1;0;;4;11.11
ATACADÃO;0;1;1;1;0;1;0;;4;6.14
CYRELA;0;1;1;1;1;0;1;;5;31.54
COSAN;0;1;1;1;0;1;1;;5;0.0
3R PETROLEUM ÓLEO E GÁS S.A.;1;0;1;1;1;0;1;;5;31.31
LOCALIZA;0;1;1;1;0;1;0;;4;25.48
CIA SIDERURGICA NACIONAL;0;1;1;1;0;1;1;;5;0.0
NATURA &CO HOLDING S.A.;0;0;1;1;1;1;1;;5;0.0
SEQUOIA;0;0;1;1;1;1;1;;5;0.0
INFRACOMMERCE;0;0;1;1;1;1;1;;5;0.0
EQUATORIAL ENERGIA;0;1;1;1;0;0;1;;4;22.93
CEA MODAS;0;0;1;1;0;1;0;;3;4.58
