ID;Codigo;Empresa;Setor;Segmento;PVP;Tag_Along;Free_Float;Graham;Cotacao;Soma_Total
1243569932;MGLU3;MAGAZINE LUIZA;Consumo Cíclico;Eletrodomésticos;1.16;100.0;42.59;0.0;1.72;5
701999570;HAPV3;HAPVIDA;Saúde;Serviços Médicos, Hospitalares, Análises e Diagnósticos;0.61;100.0;59.1;0.0;4.02;5
3434056527;B3SA3;B3 S.A. - BRASIL, BOLSA, BALCÃO;Financeiro;Serviços Financeiros Diversos;3.29;100.0;98.53;7.56;11.6;8
1075740778;CVCB3;CVC BRASIL;Consumo Cíclico;Viagens e Turismo;2.52;100.0;62.17;0.0;3.01;6
3860851608;CIEL3;CIELO;Financeiro;Serviços Financeiros Diversos;0.84;100.0;40.32;8.24;3.62;8
742907611;LREN3;LOJAS RENNER;Consumo Cíclico;Tecidos . Vestuário e Calçados;1.3;100.0;98.7;15.43;13.15;9
2774609381;COGN3;COGNA ON;Consumo Cíclico;Serviços Educacionais;0.41;100.0;96.75;0.0;2.63;5
2952652320;MRVE3;MRV ENGENHARIA E PARTICIPAÇÕES;Consumo Cíclico;Incorporações;0.88;100.0;54.33;0.0;9.43;6
2538711481;CPLE3;COPEL;Utilidade Pública;Energia Elétrica;1.1;100.0;63.24;10.33;8.06;7
428958947;RAIL3;RUMO S.A;Bens Industriais;Transporte Ferroviário;2.77;100.0;65.56;8.97;23.08;4
3379984286;ABEV3;AMBEV;Consumo não Cíclico;Cervejas e Refrigerantes;2.46;0.8;27.89;10.51;13.28;8
680386049;BRFS3;BRF S.A;Consumo não Cíclico;Carnes e Derivados;2.02;100.0;63.98;0.0;10.97;7
2256095713;PETZ3;PETZ;Consumo não Cíclico;Produtos Diversos;1.03;100.0;72.62;2.85;4.13;6
2240880320;VALE3;VALE;Materiais Básicos;Minerais Metálicos;1.63;100.0;98.01;107.82;67.26;11
2142335007;VAMO3;VAMOS;Bens Industriais;Material de Transporte;2.53;100.0;28.5;7.03;8.96;6
3663090271;ENEV3;ENEVA;Utilidade Pública;Energia Elétrica;1.44;100.0;99.58;8.69;11.79;4
1968691427;ANIM3;ANIMA;Consumo Cíclico;Serviços Educacionais;0.47;100.0;63.67;0.0;2.98;5
4262862343;AMER3;AMERICANAS S.A;Consumo Cíclico;Produtos Diversos;0.05;100.0;68.82;4.28;0.85;5
2666705758;PRIO3;PETRO RIO S.A;Petróleo, Gás e Biocombustíveis;Exploração . Refino e Distribuição;3.93;100.0;94.58;33.84;47.63;8
3549793073;SOMA3;GRUPO DE MODA SOMA S.A.;Consumo Cíclico;Tecidos . Vestuário e Calçados;0.63;100.0;62.56;9.18;6.06;4
171396866;HBSA3;HIDROVIAS DO BRASIL;Bens Industriais;Transporte Hidroviário;2.01;100.0;99.96;2.1;3.93;5
1596128447;ASAI3;ASSAÍ;Consumo não Cíclico;Alimentos;3.99;100.0;69.25;6.84;12.2;5
3387324091;VBBR3;VIBRA ENERGIA S.A.;Petróleo, Gás e Biocombustíveis;Exploração . Refino e Distribuição;1.84;100.0;95.66;12.39;20.22;5
2377599688;JBSS3;JBS;Consumo não Cíclico;Carnes e Derivados;1.0;100.0;51.17;30.04;19.14;6
2361096194;MRFG3;MARFRIG;Consumo não Cíclico;Carnes e Derivados;1.14;100.0;47.99;0.0;7.02;5
626243315;LWSA3;LOCAWEB SERVIÇOS DE INTERNET S.A;Tecnologia da Informação;Programas e Serviços;1.31;100.0;72.31;0.0;6.41;7
2049539251;ALSO3;ALIANSCSONAE;Financeiro;Exploração de Imóveis;0.94;100.0;92.76;56.66;23.95;9
1333208356;PCAR3;CIA BRASILEIRA DE DISTRIBUIÇÃO;Consumo não Cíclico;Alimentos;0.09;100.0;58.45;0.0;3.58;7
3922465978;CMIN3;CSN MINERAÇÃO S.A.;Materiais Básicos;Minerais Metálicos;2.54;100.0;20.25;4.35;4.85;9
4267282056;BBAS3;BANCO DO BRASIL;Não encontrado;Não encontrado;0.86;0.0;0.0;119.05;49.0;7
3680098412;YDUQ3;YDUQS;Consumo Cíclico;Serviços Educacionais;2.01;100.0;95.77;9.07;20.41;4
3676228354;UGPA3;ULTRAPAR PARTICIPAÇÕES;Petróleo, Gás e Biocombustíveis;Exploração . Refino e Distribuição;1.83;100.0;97.4;17.33;19.85;5
4078886315;TIMS3;TIM;Telecomunicações;Telecomunicações;1.46;100.0;33.4;14.06;15.29;6
2142158911;USIM3;USIMINAS;Materiais Básicos;Siderurgia;0.34;80.0;53.95;11.11;6.49;6
739146301;CRFB3;ATACADÃO;Consumo não Cíclico;Alimentos;1.06;100.0;25.09;6.14;9.83;4
231141437;CYRE3;CYRELA;Consumo Cíclico;Incorporações;1.05;100.0;68.58;31.54;19.7;6
3972631824;CSAN3;COSAN;Petróleo, Gás e Biocombustíveis;Exploração . Refino e Distribuição;1.73;100.0;62.49;0.0;16.57;7
3509436353;RRRP3;3R PETROLEUM ÓLEO E GÁS S.A.;Materiais Básicos;Petroquímicos;1.43;100.0;82.79;31.31;31.29;4
2472037721;RENT3;LOCALIZA;Consumo Cíclico;Aluguel de carros;2.38;100.0;85.11;25.48;55.79;5
2152405264;CSNA3;CIA SIDERURGICA NACIONAL;Materiais Básicos;Siderurgia;0.85;0.0;44.47;0.0;11.8;5
1788982013;NTCO3;NATURA &CO HOLDING S.A.;Consumo não Cíclico;Produtos de Uso Pessoal;1.0;100.0;60.65;0.0;14.82;7
4195223721;SEQL3;SEQUOIA;Tecnologia da Informação;Programas e Serviços;0.26;100.0;59.36;0.0;0.46;7
3641224750;IFCM3;INFRACOMMERCE;Telecomunicações;Telecomunicações;0.4;100.0;80.45;0.0;1.45;7
2681846902;EQTL3;EQUATORIAL ENERGIA;Utilidade Pública;Energia Elétrica;1.96;100.0;96.09;22.93;31.85;4
461742144;CEAB3;CEA MODAS;Consumo Cíclico;Tecidos . Vestuário e Calçados;0.56;100.0;34.18;4.58;5.27;4
1783893060;GMAT3;GRUPO MATEUS;Consumo não Cíclico;Produtos Diversos;1.76;100.0;21.0;6.44;6.35;7
544208930;LJQQ3;LOJAS QUERO-QUERO S/A;Consumo não Cíclico;Produtos Diversos;1.33;100.0;95.63;0.0;3.64;6
1012155684;WEGE3;WEG;Bens Industriais;Motores, Compressores e Outros;9.63;100.0;35.3;9.95;35.28;7
3883511009;SUZB3;SUZANO S.A;Materiais Básicos;Papel e Celulose;1.77;100.0;54.89;112.63;56.8;10
868683579;CCRO3;CCR;Bens Industriais;Exploração de Rodovias;2.11;100.0;49.43;9.33;12.76;3
2509962555;BEEF3;MINERVA;Consumo não Cíclico;Carnes e Derivados;12.05;100.0;42.87;2.96;8.13;7
2505761544;AMAR3;LOJAS MARISA;Consumo Cíclico;Tecidos . Vestuário e Calçados;0.66;100.0;45.66;0.0;0.59;5
4073467007;ELET3;ELETROBRAS;Utilidade Pública;Energia Elétrica;0.76;80.0;99.24;28.36;36.54;4
3735710001;RDOR3;REDE D'OR SÃO LUIZ;Saúde;Serviços Médicos, Hospitalares, Análises e Diagnósticos;2.49;100.0;47.84;11.4;24.36;5
2283232892;EMBR3;EMBRAER;Bens Industriais;Material Aeronáutico e de Defesa;1.07;100.0;99.2;0.0;17.48;6
202489199;AERI3;AERIS;Bens Industriais;Máquinas e Equipamentos Industriais;0.75;100.0;29.64;0.0;0.83;4
3754435132;AURE3;AUREN ENERGIA;Utilidade Pública;Energia Elétrica;0.94;100.0;30.2;32.12;13.91;8
3988030124;ARZZ3;AREZZO&CO;Consumo Cíclico;Tecidos . Vestuário e Calçados;2.66;100.0;54.74;43.35;66.6;8
2362813698;RADL3;RAIA DROGASIL;Saúde;Medicamentos e Outros Produtos;8.67;100.0;70.65;6.59;27.91;6
1343999046;BBSE3;BB SEGURIDADE;Financeiro;Seguradoras;7.11;100.0;33.58;19.0;31.79;8
3508318104;VIVA3;VIVARA;Consumo Cíclico;Acessórios;3.63;100.0;42.01;16.53;27.75;8
3201413760;FLRY3;FLEURY S.A.;Saúde;Serviços Médicos, Hospitalares, Análises e Diagnósticos;1.71;100.0;57.48;10.64;15.91;5
2406651662;QUAL3;QUALICORP;Saúde;Serviços Médicos, Hospitalares, Análises e Diagnósticos;0.61;100.0;97.85;0.0;2.97;5
2405888398;TTEN3;TRÊS TENTOS;Consumo não Cíclico;Agricultura;2.11;100.0;22.83;12.39;12.51;7
3806566883;MLAS3;MULTILASER;Tecnologia da Informação;Computadores e Equipamentos;0.53;100.0;54.89;0.0;2.41;6
1601951612;TEND3;CONSTRUTORA TENDA;Consumo Cíclico;Incorporações;1.98;100.0;91.69;0.0;11.09;5
3149043522;CBAV3;CBA;Bens Industriais;Máquinas e Equipamentos Industriais;0.5;100.0;32.11;0.0;4.32;7
3533746200;SBFG3;GRUPO SBF;Consumo Cíclico;Produtos Diversos;0.81;100.0;59.94;10.41;7.65;4
3306880373;SBSP3;SABESP;Utilidade Pública;Água e Saneamento;1.47;100.0;49.74;66.69;61.94;5
4013122113;HYPE3;HYPERA;Consumo Cíclico;Produtos Diversos;2.06;100.0;63.28;32.79;35.98;6
2046957177;SIMH3;SIMPAR S.A.;Financeiro;Holdings Diversificadas;2.16;100.0;27.1;4.6;8.11;5
26053909;MULT3;MULTIPLAN;Financeiro;Exploração de Imóveis;2.26;100.0;44.43;19.3;25.64;5
192910647;ESPA3;ESPAÇOLASER;Financeiro;Outros;0.54;100.0;66.11;0.0;1.32;6
1718068695;OIBR3;OI S.A;Telecomunicações;Telecomunicações;-0.02;100.0;90.2;0.0;0.6;7
2364804183;DXCO3;DURATEX;Materiais Básicos;Madeira;0.99;100.0;36.93;11.57;7.28;6
3673987437;TOTS3;TOTVS;Tecnologia da Informação;Programas e Serviços;3.86;100.0;83.3;11.6;27.52;7
3506741563;ECOR3;ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A.;Bens Industriais;Exploração de Rodovias;2.16;100.0;47.92;7.41;7.88;4
363187026;VIVT3;VIVO - TELEFÔNICA BRASIL;Telecomunicações;Telecomunicações;1.12;80.0;25.43;50.26;46.4;4
2791542096;RECV3;PETRORECÔNCAVO;Utilidade Pública;Gás;1.48;100.0;94.4;33.55;21.77;11
3413866683;AESB3;AES BRASIL ENERGIA;Utilidade Pública;Energia Elétrica;1.46;100.0;52.68;6.29;10.67;4
4143271903;GUAR3;GUARARAPES CONFECÇÕES;Consumo Cíclico;Tecidos . Vestuário e Calçados;0.57;0.0;16.41;0.0;5.75;4
3198207266;BRKM3;BRASKEM;Materiais Básicos;Petroquímicos;2.26;100.0;34.95;0.0;20.5;6
195905508;MOVI3;MOVIDA PARTICIPACOES SA;Consumo Cíclico;Aluguel de carros;1.23;100.0;36.4;7.81;10.45;4
1833384586;STBP3;SANTOS BRASIL;Bens Industriais;Serviços de Apoio e Armazenagem;3.21;100.0;99.37;4.94;8.1;8
4125545697;POSI3;POSITIVO;Tecnologia da Informação;Computadores e Equipamentos;0.72;100.0;51.9;18.19;7.05;9
4245406431;IRBR3;IRB BRASIL RESSEGUROS;Financeiro;Seguradoras;0.81;100.0;99.48;0.0;40.85;6
2129398352;SMTO3;SÃO MARTINHO;Consumo não Cíclico;Açucar e Alcool;2.25;100.0;40.48;33.3;38.6;6
2758028526;MYPK3;IOCHPE MAXION;Consumo Cíclico;Automóveis e Motocicletas;0.51;100.0;85.39;0.0;12.63;6
3522044080;EZTC3;EZ TEC;Consumo Cíclico;Incorporações;0.83;100.0;42.68;23.15;17.11;6
3098131510;ZAMP3;ZAMP;Consumo Cíclico;Restaurante e Similares;1.23;100.0;98.27;0.0;6.12;5
1982739538;KEPL3;KEPLER WEBER;Bens Industriais;Máquinas e Equipamentos Industriais;2.98;0.0;99.37;12.07;11.1;10
3691533155;GGPS3;GRUPO GPS;Bens Industriais;Serviços Diversos;4.04;100.0;55.47;8.94;16.9;8
63468985;GFSA3;GAFISA;Consumo Cíclico;Incorporações;0.15;100.0;77.74;0.0;4.26;5
1685639882;DIRR3;DIRECIONAL ENGENHARIA;Consumo Cíclico;Incorporações;2.14;100.0;47.78;18.18;17.93;9
2566435828;ENAT3;ENAUTA PARTICIPAÇÕES;Petróleo, Gás e Biocombustíveis;Exploração . Refino e Distribuição;1.16;100.0;29.1;21.65;17.85;6
786154875;CXSE3;CAIXA SEGURIDADE;Financeiro;Seguradoras;2.88;100.0;17.25;10.02;11.39;9
2469969605;PLPL3;PLANO E PLANO;Financeiro;Intermediação Imobiliária;3.21;100.0;26.78;7.54;8.2;8
2580702521;SMFT3;SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.;Consumo Cíclico;Atividades Esportivas;2.84;0.0;44.15;10.92;22.11;3
3006029074;MEAL3;INTERNATIONAL MEAL COMPANY;Consumo Cíclico;Restaurante e Similares;0.45;100.0;91.87;5.36;1.71;8
3314313839;AZEV3;AZEVEDO E TRAVASSOS S.A.;Bens Industriais;Construção Pesada;1.91;0.0;58.43;0.0;2.44;5
1398246930;CSMG3;COPASA;Utilidade Pública;Água e Saneamento;0.87;100.0;49.56;35.76;17.31;6
1497305444;GRND3;GRENDENE;Consumo Cíclico;Calçados;1.79;100.0;29.72;7.22;6.7;9
896239364;CAML3;CAMIL;Consumo não Cíclico;Alimentos Diversos;0.9;100.0;28.55;14.83;7.56;6
1542060194;PGMN3;PAGUE MENOS;Saúde;Medicamentos e Outros Produtos;0.08;100.0;28.85;38.5;3.39;7
1672551629;SEER3;SER EDUCACIONAL;Consumo Cíclico;Serviços Educacionais;0.7;100.0;40.6;0.0;6.75;4
1083614054;SGPS3;SPRINGS GLOBAL;Consumo Cíclico;Fios e Tecidos;0.17;100.0;47.08;0.0;2.06;4
3841102912;JHSF3;JHSF;Consumo Cíclico;Incorporações;0.63;100.0;44.02;10.65;4.65;5
3088569859;ONCO3;ONCOCLÍNICAS;Saúde;Medicamentos e Outros Produtos;2.6;100.0;27.6;5.16;10.98;4
2650838023;JALL3;JALLES MACHADO;Bens Industriais;Serviços Diversos;1.28;100.0;33.9;17.89;8.6;7
1251507727;MBLY3;MOBLY;Consumo Cíclico;Utensílios Domésticos;0.73;100.0;41.74;0.0;3.54;5
2299781130;BRSR3;BANCO BANRISUL;Não encontrado;Não encontrado;0.52;0.0;0.0;32.5;12.12;6
685295283;PTBL3;PORTOBELLO;Bens Industriais;Produtos para Construção;2.01;100.0;38.67;1.89;5.33;5
2693671834;CASH3;MÉLIUZ S.A.;Tecnologia da Informação;Programas e Serviços;0.75;100.0;76.07;0.0;6.66;5
2897612192;NEOE3;NEOENERGIA;Utilidade Pública;Energia Elétrica;0.79;100.0;16.17;43.1;18.2;6
3713428938;EGIE3;ENGIE BRASIL;Utilidade Pública;Energia Elétrica;4.06;100.0;31.28;30.21;41.5;6
