Empresa;Div.Liq_menos_Luc.Liq;Dividendos;Luc.Operacional;PVP_menor5;Liq_sobre_Ebita_menor2;Ano_mercado_maior10;PL_menor10;Roe_maior15;Roa_maior10Roic_maior12;Tag_along100;Free_float50;Soma_total;Formula_Graham;Cotacao
MAGAZINE LUIZA;0;0;1;1;0;1;;0;;1;0;5;0.0;1.72
HAPVIDA;0;0;1;1;0;0;;0;;1;1;5;0.0;4.22
B3 S.A. - BRASIL, BOLSA, BALCÃO;1;1;1;1;1;0;;0;;1;1;8;7.56;12.02
CVC BRASIL;0;0;1;1;1;0;;0;;1;1;6;0.0;3.01
CIELO;1;1;1;1;1;0;;0;;1;0;8;8.24;3.62
LOJAS RENNER;1;1;1;1;1;1;;0;;1;1;9;15.43;13.15
COGNA ON;0;0;1;1;0;0;;0;;1;1;5;0.0;2.63
MRV ENGENHARIA E PARTICIPAÇÕES;0;0;1;1;1;0;;0;;1;1;6;0.0;9.43
COPEL;0;1;1;1;0;1;;0;;1;1;7;10.33;8.06
RUMO S.A;0;0;1;1;0;0;;0;;1;1;4;8.97;23.08
AMBEV;1;1;1;1;1;0;;0;;0;0;8;10.51;13.28
BRF S.A;0;0;1;1;1;1;;0;;1;1;7;0.0;10.97
PETZ;1;0;1;1;1;0;;0;;1;1;6;2.85;4.13
VALE;1;1;1;1;1;1;;0;;1;1;11;107.82;67.26
VAMOS;0;1;1;1;0;0;;0;;1;0;6;7.03;8.96
ENEVA;0;0;1;1;0;0;;0;;1;1;4;8.69;11.79
ANIMA;0;0;1;1;0;0;;0;;1;1;5;0.0;2.98
AMERICANAS S.A;0;0;1;1;0;1;;0;;1;1;5;4.28;0.85
PETRO RIO S.A;0;0;1;1;1;0;;0;;1;1;8;33.84;47.63
GRUPO DE MODA SOMA S.A.;0;0;1;1;0;0;;0;;1;1;4;9.18;6.06
HIDROVIAS DO BRASIL;0;0;1;1;0;1;;0;;1;1;5;2.1;3.93
ASSAÍ;0;0;1;1;0;0;;0;;1;1;5;6.84;12.2
VIBRA ENERGIA S.A.;0;0;1;1;0;1;;0;;1;1;5;12.39;20.22
JBS;0;1;0;1;1;0;;0;;1;1;6;30.04;19.14
MARFRIG;0;1;1;1;0;0;;0;;1;0;5;0.0;7.02
LOCAWEB SERVIÇOS DE INTERNET S.A;1;0;1;1;1;0;;0;;1;1;7;0.0;6.41
ALIANSCSONAE;1;0;1;1;1;0;;0;;1;1;9;56.66;23.95
CIA BRASILEIRA DE DISTRIBUIÇÃO;0;0;1;1;1;1;;0;;1;1;7;0.0;3.58
CSN MINERAÇÃO S.A.;1;1;1;1;1;1;;0;;1;0;9;4.35;4.85
BANCO DO BRASIL;1;1;0;1;1;1;;0;;0;0;7;119.05;49.0
YDUQS;0;0;1;1;0;0;;0;;1;1;4;9.07;20.41
ULTRAPAR PARTICIPAÇÕES;0;0;1;1;0;1;;0;;1;1;5;17.33;19.85
TIM;1;1;1;1;1;0;;0;;1;0;6;14.06;15.29
USIMINAS;0;1;1;1;1;1;;0;;0;1;6;11.11;6.49
ATACADÃO;0;0;1;1;0;1;;0;;1;0;4;6.14;9.83
CYRELA;0;0;1;1;1;0;;0;;1;1;6;31.54;19.7
COSAN;0;0;1;1;0;1;;0;;1;1;7;0.0;16.57
3R PETROLEUM ÓLEO E GÁS S.A.;0;0;1;1;0;0;;0;;1;1;4;31.31;31.29
LOCALIZA;0;0;1;1;0;1;;0;;1;1;5;25.48;55.79
CIA SIDERURGICA NACIONAL;0;1;1;1;0;1;;0;;0;0;5;0.0;11.8
NATURA &CO HOLDING S.A.;0;0;1;1;1;1;;0;;1;1;7;0.0;14.82
SEQUOIA;0;0;1;1;1;1;;0;;1;1;7;0.0;0.46
INFRACOMMERCE;0;0;1;1;1;1;;0;;1;1;7;0.0;1.45
EQUATORIAL ENERGIA;0;0;1;1;0;0;;0;;1;1;4;22.93;31.85
CEA MODAS;0;0;1;1;0;1;;0;;1;0;4;4.58;5.27
GRUPO MATEUS;0;0;1;1;1;1;;0;;1;0;7;6.44;6.35
LOJAS QUERO-QUERO S/A;0;0;1;1;0;1;;0;;1;1;6;0.0;3.64
WEG;1;0;1;0;1;1;;0;;1;0;7;9.95;35.28
SUZANO S.A;0;1;1;1;0;1;;1;;1;1;10;112.63;56.8
CCR;0;0;1;1;0;0;;0;;1;0;3;9.33;12.76
MINERVA;0;1;1;0;0;1;;1;;1;0;7;2.96;8.13
LOJAS MARISA;0;0;0;1;1;1;;0;;1;0;5;0.0;0.59
ELETROBRAS;0;0;1;1;0;1;;0;;0;1;4;28.36;36.54
REDE D'OR SÃO LUIZ;0;0;1;1;1;1;;0;;1;0;5;11.4;24.36
EMBRAER;0;0;1;1;0;1;;0;;1;1;6;0.0;17.48
AERIS;0;0;1;1;0;0;;0;;1;0;4;0.0;0.83
AUREN ENERGIA;1;1;1;1;1;1;;0;;1;0;8;32.12;13.91
AREZZO&CO;1;0;1;1;1;1;;0;;1;1;8;43.35;66.6
RAIA DROGASIL;0;0;1;0;1;1;;0;;1;1;6;6.59;27.91
BB SEGURIDADE;1;1;0;0;1;0;;1;;1;0;8;19.0;31.79
VIVARA;1;0;1;1;1;1;;0;;1;0;8;16.53;27.75
FLEURY S.A.;0;0;1;1;0;1;;0;;1;1;5;10.64;15.91
QUALICORP;0;0;1;1;0;0;;0;;1;1;5;0.0;2.97
TRÊS TENTOS;1;0;1;1;1;1;;0;;1;0;7;12.39;12.51
MULTILASER;0;0;0;1;1;1;;0;;1;1;6;0.0;2.41
CONSTRUTORA TENDA;0;0;0;1;1;0;;0;;1;1;5;0.0;11.09
CBA;0;1;1;1;1;1;;0;;1;0;7;0.0;4.32
GRUPO SBF;0;0;1;1;0;0;;0;;1;1;4;10.41;7.65
SABESP;0;0;1;1;0;1;;0;;1;0;5;66.69;61.94
HYPERA;0;0;1;1;0;0;;0;;1;1;6;32.79;35.98
SIMPAR S.A.;0;0;1;1;0;1;;0;;1;0;5;4.6;8.11
MULTIPLAN;0;0;1;1;1;0;;0;;1;0;5;19.3;25.64
ESPAÇOLASER;0;0;1;1;0;1;;0;;1;1;6;0.0;1.32
OI S.A;0;0;0;1;1;1;;0;;1;1;7;0.0;0.6
DURATEX;0;1;1;1;0;1;;0;;1;0;6;11.57;7.28
TOTVS;1;0;1;1;1;1;;0;;1;1;7;11.6;27.52
ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A.;0;0;1;1;0;0;;0;;1;0;4;7.41;7.88
VIVO - TELEFÔNICA BRASIL;0;1;1;1;1;0;;0;;0;0;4;50.26;46.4
PETRORECÔNCAVO;1;1;1;1;1;1;;0;;1;1;11;33.55;21.77
AES BRASIL ENERGIA;0;0;1;1;0;0;;0;;1;1;4;6.29;10.67
GUARARAPES CONFECÇÕES;0;0;1;1;0;1;;0;;0;0;4;0.0;5.75
BRASKEM;0;0;1;1;1;1;;0;;1;0;6;0.0;20.5
MOVIDA PARTICIPACOES SA;0;0;1;1;0;0;;0;;1;0;4;7.81;10.45
SANTOS BRASIL;1;1;1;1;1;0;;0;;1;1;8;4.94;8.1
POSITIVO;0;1;1;1;1;1;;0;;1;1;9;18.19;7.05
IRB BRASIL RESSEGUROS;1;0;0;1;0;1;;0;;1;1;6;0.0;40.85
SÃO MARTINHO;0;1;1;1;0;1;;0;;1;0;6;33.3;38.6
IOCHPE MAXION;0;0;1;1;0;1;;0;;1;1;6;0.0;12.63
EZ TEC;1;0;1;1;1;0;;0;;1;0;6;23.15;17.11
ZAMP;0;0;1;1;0;0;;0;;1;1;5;0.0;6.12
KEPLER WEBER;1;1;1;1;1;1;;0;;0;1;10;12.07;11.1
GRUPO GPS;1;0;1;1;1;1;;0;;1;1;8;8.94;16.9
GAFISA;0;0;0;1;1;0;;0;;1;1;5;0.0;4.26
DIRECIONAL ENGENHARIA;1;1;1;1;1;1;;0;;1;0;9;18.18;17.93
ENAUTA PARTICIPAÇÕES;1;0;1;1;1;0;;0;;1;0;6;21.65;17.85
CAIXA SEGURIDADE;1;1;0;1;1;1;;0;;1;0;9;10.02;11.39
PLANO E PLANO;0;0;1;1;1;1;;0;;1;0;8;7.54;8.2
SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.;0;0;1;1;1;0;;0;;0;0;3;10.92;22.11
INTERNATIONAL MEAL COMPANY;0;0;1;1;1;1;;0;;1;1;8;5.36;1.71
AZEVEDO E TRAVASSOS S.A.;0;0;0;1;1;1;;0;;0;1;5;0.0;2.44
COPASA;0;1;1;1;0;1;;0;;1;0;6;35.76;17.31
GRENDENE;1;1;1;1;1;1;;0;;1;0;9;7.22;6.7
CAMIL;0;1;1;1;0;1;;0;;1;0;6;14.83;7.56
PAGUE MENOS;0;1;1;1;0;1;;0;;1;0;7;38.5;3.39
SER EDUCACIONAL;0;0;1;1;0;0;;0;;1;0;4;0.0;6.75
SPRINGS GLOBAL;0;0;0;1;1;0;;0;;1;0;4;0.0;2.06
JHSF;0;1;1;1;0;0;;0;;1;0;5;10.65;4.65
ONCOCLÍNICAS;0;0;1;1;0;1;;0;;1;0;4;5.16;10.98
JALLES MACHADO;0;1;1;1;0;1;;0;;1;0;7;17.89;8.6
MOBLY;0;0;0;1;1;1;;0;;1;0;5;0.0;3.54
BANCO BANRISUL;1;1;0;1;1;1;;0;;0;0;6;32.5;12.12
PORTOBELLO;0;1;1;1;0;1;;0;;1;0;5;1.89;5.33
MÉLIUZ S.A.;1;0;0;1;0;0;;0;;1;1;5;0.0;6.66
NEOENERGIA;0;1;1;1;0;0;;0;;1;0;6;43.1;18.2
ENGIE BRASIL;0;1;1;1;0;0;;0;;1;0;6;30.21;41.5
TRISUL;0;0;1;1;0;0;;0;;1;0;4;8.89;4.92
PORTO SEGURO;1;0;1;1;1;0;;0;;0;0;5;33.94;26.2
M.DIAS BRANCO;0;0;1;1;1;1;;0;;1;0;5;26.13;36.87
CPFL ENERGIA;0;1;1;1;1;0;;0;;1;0;7;40.89;34.29
KORA SAÚDE;0;0;1;1;0;1;;0;;1;0;5;0.0;0.98
INTELBRAS;1;1;1;1;1;1;;0;;1;0;10;16.43;17.5
SLC AGRICOLA;0;1;1;1;1;1;;0;;1;0;8;46.27;38.41
AMBIPAR PARTICIPACOES E EMPREENDIMENTOS S/A;0;0;1;1;0;0;;0;;1;0;4;0.0;20.49
CURY;1;1;1;1;1;1;;0;;1;0;10;10.03;15.34
BRISANET;0;0;1;1;0;1;;0;;1;0;5;4.42;3.35
SINQIA S.A;0;0;1;1;0;0;;0;;1;1;4;1.28;27.25
DESKTOP;0;0;1;1;0;1;;0;;1;0;5;12.96;14.89
EVEN CONSTRUTORA E INCORPORADORA;1;1;1;1;1;1;;0;;1;1;9;12.71;6.12
MELNICK;1;1;1;1;1;1;;0;;1;0;8;7.13;3.97
CM HOSPITALAR S.A.;0;0;1;1;0;1;;0;;1;0;4;10.37;16.27
OCEANPACT;0;0;1;1;0;0;;0;;1;1;4;5.16;5.57
ODONTOPREV;1;0;1;1;1;1;;0;;1;0;9;6.74;10.91
RECRUSUL;1;0;1;0;1;1;;1;;0;0;7;0.0;1.64
GETNINJAS;1;0;0;1;0;1;;0;;1;1;6;0.0;4.2
MILLS;0;0;1;1;1;1;;0;;1;1;9;11.0;11.49
OMEGA GERAÇÃO;0;0;1;1;0;0;;0;;1;1;5;0.0;8.86
LIGHT;0;0;0;1;1;0;;0;;1;1;5;0.0;5.41
TUPY;0;1;1;1;0;1;;0;;1;0;6;39.03;26.4
IRANI PAPEL E EMBALAGEM S.A;0;1;1;1;1;1;;0;;1;0;9;15.3;11.7
NEOGRID PARTICIPAÇÕES S.A.;1;0;1;1;0;0;;0;;1;0;4;1.47;1.29
INDÚSTRIAS ROMI;0;1;1;1;1;1;;0;;1;1;8;26.39;11.91
BEMOBI MOBILE TECH S.A.;1;0;1;1;1;1;;0;;1;1;8;16.91;12.25
HOSPITAL MATER DEI;0;0;1;1;0;1;;0;;1;0;4;5.48;8.35
WIZ;1;1;1;1;1;1;;0;;1;0;9;6.2;5.21
HBR REALTY;0;0;1;1;0;0;;0;;1;1;5;16.06;4.95
CEMIG;0;1;1;1;1;1;;0;;0;1;8;23.96;12.5
VALID;0;1;1;1;1;1;;0;;1;1;9;26.66;16.88
MOURA DUBEUX ENGENHARIA S/A;1;0;1;1;1;1;;0;;0;1;7;22.35;10.37
BRASILAGRO;0;1;1;1;1;0;;0;;1;1;7;35.52;28.57
FRAS-LE;1;0;1;1;1;1;;0;;0;0;7;13.12;15.52
BLAU FARMACÊUTICA;1;0;1;1;1;1;;0;;1;0;9;20.23;16.56
LAVVI;1;1;1;1;1;1;;0;;1;0;8;10.4;7.31
MITRE REALTY EMPREENDIMENTOS E PARTICIPAÇÕES S.A;0;1;1;1;0;1;;0;;1;0;6;14.18;3.97
VIVER INCORPORADORA E CONSTRUTORA;0;0;0;1;1;1;;1;;1;1;7;0.0;3.64
VULCABRAS;1;1;1;1;1;1;;0;;1;0;10;19.39;19.8
CIA SANEAMENTO DO PARANA - SANEPAR;0;1;1;1;0;1;;0;;1;1;7;11.04;4.53
ENJOEI;1;0;0;1;0;1;;0;;1;1;6;0.0;1.48
DIMED;0;0;1;1;0;1;;0;;0;0;3;9.63;11.58
KLABIN S.A.;0;1;1;1;0;1;;0;;1;1;9;6.19;4.77
WILSON SONS LTD.;0;1;1;1;0;1;;0;;1;0;5;9.84;13.97
HELBOR;0;1;1;1;0;1;;0;;1;0;6;8.5;2.52
PRINER;0;0;1;1;1;0;;0;;1;1;6;8.43;11.0
CLEAR SALE;1;0;0;1;0;1;;0;;1;0;5;0.0;4.6
LUPATECH;0;0;0;1;1;1;;0;;1;1;6;12.25;2.16
CRUZEIRO DO SUL EDUCACIONAL;0;0;1;1;1;1;;0;;1;0;6;3.35;4.16
ETERNIT;1;1;1;1;1;1;;0;;1;1;9;17.92;8.11
MAHLE-METAL LEVE;1;1;1;1;1;1;;0;;1;0;10;37.11;40.75
VITTIA;0;0;1;1;1;1;;0;;1;0;8;8.87;11.73
MARCOPOLO;1;1;1;1;1;1;;0;;1;1;9;7.56;4.37
WESTWING;1;0;0;1;1;0;;0;;1;1;6;0.0;1.35
DOTZ;0;0;0;1;1;1;;0;;1;0;6;0.0;1.09
TECHNOS;1;0;1;1;1;0;;0;;1;0;6;8.9;3.49
LOG COMMERCIAL PROPERTIES;0;1;1;1;0;0;;0;;1;1;6;42.02;19.52
